temperature,humidity,wind_speed,pressure,rainfall
24.697462,65.658466,9.601823,1008.616817,12.345678
28.180799,76.601264,7.443402,1012.345678,15.678901
22.544659,62.112160,11.220183,1005.987654,10.234567
26.495169,69.543210,8.765432,1010.123456,13.456789
23.981375,67.890123,10.432198,1007.654321,11.567890
25.612783,71.234567,9.876543,1009.876543,14.234567
27.345612,73.456789,8.234567,1011.234567,16.345678
21.876543,64.321098,12.345678,1004.567890,9.123456
29.543210,79.012345,6.789012,1013.987654,17.456789
24.210987,68.765432,10.987654,1006.543210,12.678901
